,count,mean,std,min,25%,50%,75%,max
prv_tv_sdnn_pre_final_exclusion_valid_min,211.0,339.6952606635071,63.04891356114913,55.1,297.55,342.2,376.05,501.0
selected_lf,211.0,941.0631447251186,1475.0599391348435,29.083578,255.06093950000002,465.879968,901.5196565,8302.547224
selected_lf_fixed_median,211.0,636.5130341232228,1167.5648368317295,22.706402,141.330703,257.200833,621.700221,7296.547485
selected_hf,211.0,453.4482713554503,762.4202261792144,32.470808,136.668485,206.442026,444.13962949999996,5577.538214
selected_hf_fixed_median,211.0,339.39584719431275,690.8174471303412,30.940697,85.960718,138.453662,281.13086450000003,5312.314265
selected_lf_hf,211.0,3.04500162085308,2.3611938976219653,0.166703,1.5023715,2.335927,3.7270005,13.95681
selected_lf_hf_fixed_median,211.0,2.1910413270142186,1.8979596189145111,0.103408,0.9921055,1.636657,2.717123,13.893849
selected_lf_hf_fixed_mean,211.0,3.04500162085308,2.3611938976219653,0.166703,1.5023715,2.335927,3.7270005,13.95681
selected_lf_hf_fixed_n_windows_valid,211.0,114.25118483412322,35.50356703767957,9.0,91.0,117.0,137.5,203.0
selected_lf_hf_fixed_n_windows_total,211.0,237.72037914691944,29.226415185880526,162.0,217.0,238.0,258.0,299.0
selected_lf_hf_fixed_valid_pct,211.0,48.170616113744074,14.078737399406718,5.0,40.0,49.6,58.3,75.5
selected_lf_hf_fixed_valid_min,211.0,228.50236966824644,71.00713407535913,18.0,182.0,234.0,275.0,406.0
selected_lf_hf_fixed_total_min,211.0,475.4407582938389,58.45283037176105,324.0,434.0,476.0,516.0,598.0
prv_tv_lf_final_analysis_valid_pct,211.0,48.94075829383887,16.604679414847833,2.2,38.8,51.8,61.0,80.7
prv_tv_lf_final_analysis_valid_min,211.0,232.40947867298578,82.32558015478641,13.0,179.0,238.1,289.79999999999995,420.0
prv_tv_lf_pre_final_exclusion_valid_pct,211.0,68.3914691943128,11.65061711926715,2.4,64.7,70.7,74.5,87.5
prv_tv_lf_pre_final_exclusion_valid_min,211.0,325.69526066350716,70.04910438435869,14.2,291.15,331.1,365.29999999999995,499.7
prv_tv_hf_final_analysis_valid_pct,211.0,48.94075829383887,16.604679414847833,2.2,38.8,51.8,61.0,80.7
